date,window_size,garch_model,distribution,arma_p,arma_q,forecast_mean,forecast_var,ci_lower,ci_upper,actual_return,in_ci,violation_type,dist_test_pvalue,aic,bic
2018-09-19,200,GJR-GARCH,normal,1,1,0.06457769928175167,0.2897564058600793,-0.9904518269135241,1.1196072254770275,0.12524878341885148,True,none,,430.9087417314548,450.6685706798018
2018-09-19,200,GJR-GARCH,studentst,1,1,0.06824770846496302,0.29042445718495774,-0.9879973354516743,1.1244927523816004,0.12524878341885148,True,none,,431.9265324665318,454.97966623960326
2018-09-19,200,GJR-GARCH,t,1,1,0.06824770846496302,0.29042445718495774,-0.9879973354516743,1.1244927523816004,0.12524878341885148,True,none,,431.9265324665318,454.97966623960326
2018-09-20,200,GARCH,normal,1,1,0.11123205069961693,0.23043878917498525,-0.8296298516571109,1.0520939530563447,0.7810014244434212,True,none,,441.1464589793745,457.61298310299696
2018-09-20,200,GARCH,studentst,1,1,0.10613219333578836,0.23986767606939732,-0.8537854073134483,1.066049793985025,0.7810014244434212,True,none,,436.37598954692027,456.13581849526724
2018-09-20,200,GARCH,t,1,1,0.10613219333578836,0.23986767606939732,-0.8537854073134483,1.066049793985025,0.7810014244434212,True,none,,436.37598954692027,456.13581849526724
2018-09-20,200,EGARCH,normal,1,1,0.11802088676854645,0.22130058936805747,-0.8039970637360697,1.0400388372731626,0.7810014244434212,True,none,,448.28540098501855,464.751925108641
2018-09-20,200,EGARCH,studentst,1,1,0.11305384358111967,0.22777443179953272,-0.8223530733084805,1.04846076047072,0.7810014244434212,True,none,,441.883602875926,461.64343182427297
2018-09-20,200,EGARCH,t,1,1,0.11305384358111967,0.22777443179953272,-0.8223530733084805,1.04846076047072,0.7810014244434212,True,none,,441.883602875926,461.64343182427297
2018-09-20,200,GJR-GARCH,normal,1,1,0.055393611199799235,0.25576658400234575,-0.9358262434008923,1.0466134658004906,0.7810014244434212,True,none,,431.09035809916196,450.85018704750894
2018-09-20,200,GJR-GARCH,studentst,1,1,0.06386968600941392,0.25945737902144933,-0.9344763648347438,1.0622157368535716,0.7810014244434212,True,none,,432.02077329589326,455.07390706896473
2018-09-20,200,GJR-GARCH,t,1,1,0.06386968600941392,0.25945737902144933,-0.9344763648347438,1.0622157368535716,0.7810014244434212,True,none,,432.02077329589326,455.07390706896473
2018-09-21,200,GARCH,normal,1,1,0.11307724983308409,0.30989104863056066,-0.9779927306063099,1.204147230272478,-0.03686008943401087,True,none,,442.1889158651293,458.6554399887517
2018-09-21,200,GARCH,studentst,1,1,0.09189002003664618,0.3095288596860778,-0.998542173316282,1.1823222133895743,-0.03686008943401087,True,none,,437.7071281584779,457.46695710682485
2018-09-21,200,GARCH,t,1,1,0.09189002003664618,0.3095288596860778,-0.998542173316282,1.1823222133895743,-0.03686008943401087,True,none,,437.7071281584779,457.46695710682485
2018-09-21,200,EGARCH,normal,1,1,0.1389464598118597,0.33171807042723,-0.9898942320602564,1.2677871516839758,-0.03686008943401087,True,none,,449.0572262907259,465.52375041434834
2018-09-21,200,EGARCH,studentst,1,1,0.09829032469809126,0.31831024421031157,-1.0075015613903364,1.204082210786519,-0.03686008943401087,True,none,,443.0559820544905,462.8158110028375
2018-09-21,200,EGARCH,t,1,1,0.09829032469809126,0.31831024421031157,-1.0075015613903364,1.204082210786519,-0.03686008943401087,True,none,,443.0559820544905,462.8158110028375
2018-09-21,200,GJR-GARCH,normal,1,1,0.07608381721570133,0.23408147330183038,-0.8721853114478826,1.0243529458792853,-0.03686008943401087,True,none,,432.2747017943967,452.0345307427437
2018-09-21,200,GJR-GARCH,studentst,1,1,0.0779027118665504,0.2400689851128014,-0.8824176099202259,1.0382230336533267,-0.03686008943401087,True,none,,433.30392489802114,456.3570586710926
2018-09-21,200,GJR-GARCH,t,1,1,0.0779027118665504,0.2400689851128014,-0.8824176099202259,1.0382230336533267,-0.03686008943401087,True,none,,433.30392489802114,456.3570586710926
2018-09-24,200,GARCH,normal,1,1,0.12268097694784486,0.26156353364914253,-0.8797089389573499,1.1250708928530395,-0.35218824209070027,True,none,,442.605869655209,459.0723937788315
2018-09-24,200,GARCH,studentst,1,1,0.1220998638767716,0.2690456346647369,-0.8945257931140909,1.1387255208676341,-0.35218824209070027,True,none,,437.9010023687961,457.6608313171431
2018-09-24,200,GARCH,t,1,1,0.1220998638767716,0.2690456346647369,-0.8945257931140909,1.1387255208676341,-0.35218824209070027,True,none,,437.9010023687961,457.6608313171431
2018-09-24,200,EGARCH,normal,1,1,0.14124594192235082,0.259935141266951,-0.8580188584325412,1.140510742277243,-0.35218824209070027,True,none,,449.58998249851254,466.056506622135
2018-09-24,200,EGARCH,studentst,1,1,0.13104235994987715,0.26257492774240554,-0.8732836689218169,1.135368388821571,-0.35218824209070027,True,none,,443.29538390387614,463.0552128522231
2018-09-24,200,EGARCH,t,1,1,0.13104235994987715,0.26257492774240554,-0.8732836689218169,1.135368388821571,-0.35218824209070027,True,none,,443.29538390387614,463.0552128522231
2018-09-24,200,GJR-GARCH,normal,1,1,0.05934847511287242,0.21992160131809962,-0.8597923058584598,0.9784892560842047,-0.35218824209070027,True,none,,432.3654941702307,452.1253231185777
2018-09-24,200,GJR-GARCH,studentst,1,1,0.07033337949939353,0.22625606541419394,-0.8619505677081631,1.0026173267069503,-0.35218824209070027,True,none,,433.34874362835353,456.401877401425
2018-09-24,200,GJR-GARCH,t,1,1,0.07033337949939353,0.22625606541419394,-0.8619505677081631,1.0026173267069503,-0.35218824209070027,True,none,,433.34874362835353,456.401877401425
2018-09-25,200,GARCH,normal,1,1,0.12087865739650014,0.27757840150140045,-0.9117422792892376,1.153499594082238,-0.13059482895532304,True,none,,443.4663870228803,459.93291114650276
2018-09-25,200,GARCH,studentst,1,1,0.12786520297987686,0.28268212462763675,-0.9142056876525175,1.1699360936122711,-0.13059482895532304,True,none,,438.9279860094598,458.6878149578068
2018-09-25,200,GARCH,t,1,1,0.12786520297987686,0.28268212462763675,-0.9142056876525175,1.1699360936122711,-0.13059482895532304,True,none,,438.9279860094598,458.6878149578068
2018-09-25,200,EGARCH,normal,1,1,0.19302088765001257,0.30893867777949097,-0.896371240469888,1.2824130157699132,-0.13059482895532304,True,none,,450.75438816196447,467.2209122855869
2018-09-25,200,EGARCH,studentst,1,1,0.13695970881021655,0.29795946500809734,-0.9328996347787704,1.2068190523992035,-0.13059482895532304,True,none,,444.46115125726516,464.22098020561214
2018-09-25,200,EGARCH,t,1,1,0.13695970881021655,0.29795946500809734,-0.9328996347787704,1.2068190523992035,-0.13059482895532304,True,none,,444.46115125726516,464.22098020561214
2018-09-25,200,GJR-GARCH,normal,1,1,0.04737757161055892,0.2722107499024429,-0.975210510806062,1.0699656540271798,-0.13059482895532304,True,none,,432.90452495743534,452.6643539057823
2018-09-25,200,GJR-GARCH,studentst,1,1,0.060171833843220605,0.2745201927659441,-0.9667449183618387,1.08708858604828,-0.13059482895532304,True,none,,433.99295065791654,457.046084430988
2018-09-25,200,GJR-GARCH,t,1,1,0.060171833843220605,0.2745201927659441,-0.9667449183618387,1.08708858604828,-0.13059482895532304,True,none,,433.99295065791654,457.046084430988
2018-09-26,200,GARCH,normal,1,1,0.11245102574973605,0.2478471325178987,-0.863302300349964,1.0882043518494362,-0.32946997183381443,True,none,,443.12846778397613,459.59499190759857
2018-09-26,200,GARCH,studentst,1,1,0.11301140370505806,0.25973794817795326,-0.8858742915059566,1.1118970989160728,-0.32946997183381443,True,none,,438.4086875248481,458.1685164731951
